years,rank,logo,country,brand,sales
2016-04,19,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,28747
2016-04,20,https://i.img16888.com/carlogo75/57338.gif,法国,标致,28307
2016-04,21,https://i.img16888.com/carlogo75/57563.gif,中国,广汽传祺,28082
2016-04,22,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,25490
2016-04,23,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,24409
2016-04,24,https://i.img16888.com/carlogo75/58044.gif,法国,雪铁龙,23742
2016-04,25,https://i.img16888.com/carlogo75/57279.gif,德国,奔驰,23304
2016-04,26,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,22139
2016-04,27,https://i.img16888.com/carlogo75/57248.gif,德国,宝马,21736
2016-04,28,https://i.img16888.com/carlogo75/126388.gif,中国,东风风行,19019
2016-04,29,https://i.img16888.com/carlogo75/126169.gif,中国,北京汽车,17214
2016-04,30,https://i.img16888.com/carlogo75/57772.gif,日本,马自达,15644
2016-04,31,https://i.img16888.com/carlogo75/58074.gif,中国,中华,14255
2016-04,32,https://i.img16888.com/carlogo75/57571.gif,中国,海马,14254
2016-04,33,https://i.img16888.com/carlogo75/57636.gif,中国,金杯,12657
2016-04,34,https://i.img16888.com/carlogo75/126179.gif,中国,北汽威旺,11039
2016-04,35,https://i.img16888.com/carlogo75/57891.gif,中国,荣威,10865
2016-04,36,https://i.img16888.com/carlogo75/57733.gif,日本,铃木,10599
2016-04,37,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,9771
2016-04,38,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,9203
2016-04,39,https://i.img16888.com/carlogo75/57474.gif,中国,东风风神,9175
2016-04,40,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,8372
2016-04,41,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,7230
2016-04,42,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,6785
2016-04,43,https://i.img16888.com/carlogo75/57477.gif,中国,东南,6708
2016-04,44,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,6640
2016-04,45,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,6177
2016-04,46,https://i.img16888.com/carlogo75/57396.gif,中国,猎豹汽车,5631
2016-04,47,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,5514
2016-04,48,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,5460
2016-04,49,https://i.img16888.com/carlogo75/126518.gif,中国,中国重汽,3478
2016-04,50,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,3388
2016-04,51,https://i.img16888.com/carlogo75/57384.gif,中国,长城,2825
2016-04,52,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,2606
2016-04,53,https://i.img16888.com/carlogo75/57490.gif,意大利,菲亚特,2266
2016-04,54,https://i.img16888.com/carlogo75/57404.gif,中国,野马汽车,2240
2016-04,55,https://i.img16888.com/carlogo75/125802.gif,中国,纳智捷,2083
2016-04,56,https://i.img16888.com/carlogo75/57552.gif,中国,福田,1849
2016-04,57,https://i.img16888.com/carlogo75/126157.gif,中国,观致,1683
2016-04,58,https://i.img16888.com/carlogo75/126042.gif,法国,DS,1516
